number, RTT, Drift, t0, t1, t2, t3
665,0.166815281,-0.07865119,32:53.0,32:52.9,32:52.9,32:52.9
666,0.307777882,-0.141492128,33:03.3,33:03.0,33:03.0,33:03.0
667,0.164898634,-0.074321151,33:13.5,33:13.3,33:13.3,33:13.3
668,0.290220499,-0.137244344,33:23.8,33:23.5,33:23.5,33:23.5
669,0.352776527,0.024453402,33:34.2,33:34.0,33:34.0,33:33.8
670,0.266292572,-0.131867886,33:44.4,33:44.2,33:44.2,33:44.2
671,0.151330233,-0.076424241,33:54.6,33:54.4,33:54.4,33:54.4
672,0.163148165,-0.077552438,34:04.7,34:04.6,34:04.6,34:04.6
673,0.172533751,-0.068900466,34:14.9,34:14.8,34:14.8,34:14.7
674timeout,,,,,,
675,0.154765129,-0.077424526,34:38.1,34:37.9,34:37.9,34:37.9
676,0.180086374,-0.090182185,34:48.3,34:48.1,34:48.1,34:48.1
677,0.178254843,-0.067287326,34:58.4,34:58.3,34:58.3,34:58.3
678,0.159163713,-0.074943662,35:08.6,35:08.5,35:08.5,35:08.5
679,0.160416365,-0.075619578,35:18.8,35:18.6,35:18.6,35:18.6
680,0.159932375,-0.07836163,35:28.9,35:28.8,35:28.8,35:28.8
681,0.163360119,-0.076684713,35:39.1,35:38.9,35:38.9,35:38.9
682,0.166054487,-0.072530627,35:49.3,35:49.1,35:49.1,35:49.1
683,0.156920433,-0.078316927,35:59.4,35:59.3,35:59.3,35:59.3
684,0.321732044,0.008587599,36:09.8,36:09.6,36:09.6,36:09.4
685,0.159546852,-0.075978994,36:19.9,36:19.8,36:19.8,36:19.8
686,0.168951035,-0.087418556,36:30.1,36:29.9,36:29.9,36:29.9
687,0.161874056,-0.076870084,36:40.3,36:40.1,36:40.1,36:40.1
688,0.161976814,-0.077217102,36:50.4,36:50.3,36:50.3,36:50.3
689,0.150414944,-0.078363419,37:00.6,37:00.4,37:00.4,37:00.4
690,0.162348509,-0.077320218,37:10.7,37:10.6,37:10.6,37:10.6
691,0.162052393,-0.077071309,37:20.9,37:20.8,37:20.8,37:20.7
692,0.148985624,-0.076425195,37:31.1,37:30.9,37:30.9,37:30.9
693,0.16329813,-0.077231169,37:41.2,37:41.1,37:41.1,37:41.1
694,0.165694714,-0.072472572,37:51.4,37:51.2,37:51.2,37:51.2
695,0.250542164,-0.123504877,38:01.7,38:01.4,38:01.4,38:01.4
696,0.16904974,-0.083153486,38:11.8,38:11.7,38:11.7,38:11.7
697,0.153637648,-0.077477098,38:22.0,38:21.8,38:21.8,38:21.8
698,0.161079884,-0.078238964,38:32.2,38:32.0,38:32.0,38:32.0
699,0.184520245,-0.064736128,38:42.3,38:42.2,38:42.2,38:42.2
700,0.151434898,-0.078418255,38:52.5,38:52.3,38:52.3,38:52.3
701,0.149846792,-0.077756286,39:02.7,39:02.5,39:02.5,39:02.5
702,0.163291216,-0.074109674,39:12.8,39:12.7,39:12.7,39:12.7
703,0.15670085,-0.079878449,39:23.0,39:22.8,39:22.8,39:22.8
704,0.157139301,-0.078097582,39:33.1,39:33.0,39:33.0,39:33.0
705,0.15087986,-0.079059362,39:43.3,39:43.1,39:43.1,39:43.1
706,0.161491394,-0.075075865,39:53.5,39:53.3,39:53.3,39:53.3
707,0.235549927,-0.122541428,40:03.7,40:03.5,40:03.5,40:03.5
708,0.152879477,-0.080535054,40:13.9,40:13.7,40:13.7,40:13.7
709,0.661953926,-0.315892458,40:24.5,40:23.9,40:23.9,40:23.9
710,0.157494783,-0.076187015,40:34.7,40:34.5,40:34.5,40:34.5
711,0.160740614,-0.075677037,40:44.9,40:44.7,40:44.7,40:44.7
712,0.155495644,-0.078065157,40:55.0,40:54.9,40:54.9,40:54.9
713,0.156508446,-0.077121258,41:05.2,41:05.0,41:05.0,41:05.0
714,0.184823513,-0.07109046,41:15.4,41:15.2,41:15.2,41:15.2
715,0.261523724,-0.1358459,41:25.6,41:25.4,41:25.4,41:25.4
716,0.163648129,-0.075706482,41:35.8,41:35.6,41:35.6,41:35.6
717,0.304844141,-0.156015277,41:46.1,41:45.8,41:45.8,41:45.8
718,0.165594816,-0.074795127,41:56.3,41:56.1,41:56.1,41:56.1
719,0.341562271,-0.168242455,42:06.6,42:06.3,42:06.3,42:06.3
720,0.18514514,-0.069972873,42:16.8,42:16.6,42:16.6,42:16.6
721,0.16356349,-0.077298284,42:27.0,42:26.8,42:26.8,42:26.8
722,0.154840946,-0.080443859,42:37.1,42:37.0,42:37.0,42:37.0
723,0.153419256,-0.081287265,42:47.3,42:47.1,42:47.1,42:47.1
724,0.164657593,-0.088630199,42:57.5,42:57.3,42:57.3,42:57.3
725,0.159118891,-0.079861045,43:07.6,43:07.5,43:07.5,43:07.5
726,0.155474424,-0.078484178,43:17.8,43:17.6,43:17.6,43:17.6
727,0.149352551,-0.081584692,43:27.9,43:27.8,43:27.8,43:27.8
728,0.355668545,-0.153871298,43:38.3,43:38.0,43:38.0,43:37.9
729,0.189201355,-0.073701382,43:48.5,43:48.3,43:48.3,43:48.3
730,0.165978193,-0.079514146,43:58.7,43:58.5,43:58.5,43:58.5
731,0.168284178,-0.074820161,44:08.8,44:08.7,44:08.7,44:08.7
732,0.172443628,-0.087313533,44:19.0,44:18.8,44:18.8,44:18.8
733,0.15786171,-0.080701351,44:29.2,44:29.0,44:29.0,44:29.0
734timeout,,,,,,
735timeout,,,,,,
736timeout,,,,,,
737,0.163856268,-0.080141425,45:18.4,45:18.2,45:18.2,45:18.2
738,0.181521893,-0.076987267,45:28.6,45:28.4,45:28.4,45:28.4
739,0.184940815,-0.081751347,45:38.7,45:38.6,45:38.6,45:38.6
740,0.156738997,-0.081803441,45:48.9,45:48.7,45:48.7,45:48.7
741,0.187211514,-0.093821049,45:59.1,45:58.9,45:58.9,45:58.9
742,0.169042826,-0.07662499,46:09.3,46:09.1,46:09.1,46:09.1
743,0.18068409,-0.069908619,46:19.5,46:19.3,46:19.3,46:19.3
744,0.158088684,-0.081367016,46:29.6,46:29.5,46:29.5,46:29.5
745,0.164155006,-0.079937696,46:39.8,46:39.6,46:39.6,46:39.6
746,0.160837173,-0.080272675,46:49.9,46:49.8,46:49.8,46:49.8
747,0.231812,-0.118641376,47:00.2,47:00.0,47:00.0,47:00.0
748,0.160568714,-0.081866741,47:10.4,47:10.2,47:10.2,47:10.2
749timeout,,,,,,
750,0.174868584,-0.087640762,47:33.5,47:33.4,47:33.4,47:33.4
751,0.166852236,-0.082050681,47:43.7,47:43.5,47:43.5,47:43.5
752,0.169039011,-0.084246278,47:53.9,47:53.7,47:53.7,47:53.7
753,0.158190727,-0.082967758,48:04.0,48:03.9,48:03.9,48:03.9
754,0.303760529,-0.154333115,48:14.4,48:14.0,48:14.0,48:14.1
755,0.157582998,-0.083073735,48:24.5,48:24.4,48:24.4,48:24.4
756timeout,,,,,,
757,0.303034306,-0.047248363,48:47.8,48:47.6,48:47.6,48:47.5
758,0.147747755,-0.08552897,48:58.0,48:57.8,48:57.8,48:57.8
759,0.169108868,-0.092817068,49:08.2,49:08.0,49:08.0,49:08.0
760,0.151692152,-0.083915591,49:18.3,49:18.2,49:18.2,49:18.2
761,0.189551115,-0.092219234,49:28.5,49:28.3,49:28.3,49:28.3
762,0.150080442,-0.087196708,49:38.7,49:38.5,49:38.5,49:38.5
763,0.219085932,-0.121178269,49:48.9,49:48.7,49:48.7,49:48.7
764timeout,,,,,,
765,0.151709557,-0.087741137,50:12.0,50:11.9,50:11.9,50:11.9
766,0.151999235,-0.085463166,50:22.2,50:22.0,50:22.0,50:22.1
767,0.152460098,-0.087393761,50:32.4,50:32.2,50:32.2,50:32.2
768,0.277004719,-0.147298098,50:42.6,50:42.4,50:42.4,50:42.4
769,0.151068687,-0.086878538,50:52.8,50:52.6,50:52.6,50:52.6
770,0.161211491,-0.088530779,51:03.0,51:02.8,51:02.8,51:02.8
771,0.280125856,-0.149752975,51:13.2,51:13.0,51:13.0,51:13.0
772timeout,,,,,,
773,0.154652834,-0.085460782,51:36.4,51:36.3,51:36.3,51:36.3
774,0.163712502,-0.078892231,51:46.6,51:46.4,51:46.4,51:46.4
