number, RTT, Drift, t0, t1, t2, t3
946,0.167392015,-0.100813746,21:22.1,21:21.9,21:21.9,21:21.9
947,0.157847404,-0.097258568,21:32.3,21:32.1,21:32.1,21:32.1
948,0.165087938,-0.097780585,21:42.4,21:42.3,21:42.3,21:42.3
949,0.052572489,-0.08870542,21:52.5,21:52.4,21:52.4,21:52.4
950,0.024047136,-0.102030873,22:02.5,22:02.4,22:02.4,22:02.5
951,0.024382591,-0.099794865,22:12.6,22:12.4,22:12.4,22:12.5
952,0.031134605,-0.099669456,22:22.6,22:22.5,22:22.5,22:22.6
953,0.032943726,-0.101986647,22:32.6,22:32.5,22:32.5,22:32.6
954,0.023547649,-0.101281643,22:42.7,22:42.5,22:42.5,22:42.6
955,0.029305696,-0.09963429,22:52.7,22:52.6,22:52.6,22:52.7
956,0.027590752,-0.101217747,23:02.7,23:02.6,23:02.6,23:02.7
957,0.028000593,-0.098298669,23:12.8,23:12.6,23:12.6,23:12.7
958,0.023995161,-0.102954268,23:22.8,23:22.7,23:22.7,23:22.8
959,0.022492647,-0.10235393,23:32.8,23:32.7,23:32.7,23:32.8
960,0.021439075,-0.101945877,23:42.8,23:42.7,23:42.7,23:42.8
961,0.055683136,-0.120056629,23:52.9,23:52.7,23:52.7,23:52.8
962,0.023863792,-0.101764202,24:02.9,24:02.8,24:02.8,24:02.9
963timeout,,,,,,
964,0.184136629,-0.085468173,24:26.1,24:25.9,24:25.9,24:25.9
965,0.161825657,-0.098120689,24:36.3,24:36.1,24:36.1,24:36.1
966,0.163654804,-0.097702742,24:46.4,24:46.3,24:46.3,24:46.3
967,0.169587135,-0.094425201,24:56.6,24:56.4,24:56.4,24:56.5
968,0.167232752,-0.097796798,25:06.8,25:06.6,25:06.6,25:06.6
969,0.166869402,-0.096611857,25:17.0,25:16.8,25:16.8,25:16.8
970,0.166486025,-0.100171924,25:27.1,25:27.0,25:27.0,25:27.0
971,0.15999198,-0.098107219,25:37.3,25:37.1,25:37.1,25:37.1
972,0.318254709,-0.17260468,25:47.6,25:47.3,25:47.3,25:47.3
973,0.162927628,-0.098060846,25:57.8,25:57.6,25:57.6,25:57.6
974,0.29956007,-0.167648315,26:08.1,26:07.8,26:07.8,26:07.8
975,0.161864042,-0.09739697,26:18.3,26:18.1,26:18.1,26:18.1
976,0.163137913,-0.098138332,26:28.4,26:28.2,26:28.2,26:28.3
977,0.165881157,-0.100676775,26:38.6,26:38.4,26:38.4,26:38.4
978,0.166804314,-0.096954107,26:48.8,26:48.6,26:48.6,26:48.6
979timeout,,,,,,
980,0.162269592,-0.101973772,27:12.0,27:11.8,27:11.8,27:11.8
981,0.238530159,-0.142216444,27:22.2,27:22.0,27:21.9,27:22.0
982,0.293180943,-0.169424295,27:32.5,27:32.2,27:32.2,27:32.2
983,0.177130699,-0.112707615,27:42.7,27:42.5,27:42.5,27:42.5
984,0.158650875,-0.105521202,27:52.9,27:52.7,27:52.7,27:52.7
985,0.160838604,-0.103103399,28:03.0,28:02.8,28:02.8,28:02.9
986,0.175228119,-0.11289072,28:13.2,28:13.0,28:13.0,28:13.0
987,0.166980028,-0.108421683,28:23.4,28:23.2,28:23.2,28:23.2
988,0.160058975,-0.103993416,28:33.5,28:33.4,28:33.4,28:33.4
989,0.162429571,-0.105237603,28:43.7,28:43.5,28:43.5,28:43.5
990,0.209704638,-0.128794074,28:53.9,28:53.7,28:53.7,28:53.7
991,0.160776138,-0.103875637,29:04.1,29:03.9,29:03.9,29:03.9
992timeout,,,,,,
993,0.239838123,-0.000189304,29:27.3,29:27.2,29:27.2,29:27.1
994,0.022516012,-0.107668042,29:37.4,29:37.2,29:37.2,29:37.3
995,0.026831865,-0.105514169,29:47.4,29:47.3,29:47.3,29:47.4
996,0.022156,-0.108094811,29:57.4,29:57.3,29:57.3,29:57.4
997,0.027677774,-0.111109853,30:07.4,30:07.3,30:07.3,30:07.4
998,0.029675484,-0.108125687,30:17.5,30:17.4,30:17.4,30:17.5
999,0.021009922,-0.107306004,30:27.5,30:27.4,30:27.4,30:27.5
1000,0.022133112,-0.107778907,30:37.5,30:37.4,30:37.4,30:37.5
